0xA8F9	卹	U+5379
0xA8FA	取	U+53D6
0xA8FB	叔	U+53D4
0xA8FC	受	U+53D7
0xA8FD	味	U+5473
0xA8FE	呵	U+5475
0xA940	咖	U+5496
0xA941	呸	U+5478
0xA942	咕	U+5495
0xA943	咀	U+5480
0xA944	呻	U+547B
0xA945	呷	U+5477
0xA946	咄	U+5484
0xA947	咒	U+5492
0xA948	咆	U+5486
0xA949	呼	U+547C
0xA94A	咐	U+5490
0xA94B	呱	U+5471
0xA94C	呶	U+5476
0xA94D	和	U+548C
0xA94E	咚	U+549A
0xA94F	呢	U+5462
0xA950	周	U+5468
0xA951	咋	U+548B
0xA952	命	U+547D
0xA953	咎	U+548E
0xA954	固	U+56FA
0xA955	垃	U+5783
0xA956	坷	U+5777
0xA957	坪	U+576A
0xA958	坩	U+5769
0xA959	坡	U+5761
0xA95A	坦	U+5766
0xA95B	坤	U+5764
0xA95C	坼	U+577C
0xA95D	夜	U+591C
0xA95E	奉	U+5949
0xA95F	奇	U+5947
0xA960	奈	U+5948
0xA961	奄	U+5944
0xA962	奔	U+5954
0xA963	妾	U+59BE
0xA964	妻	U+59BB
0xA965	委	U+59D4
0xA966	妹	U+59B9
0xA967	妮	U+59AE
0xA968	姑	U+59D1
0xA969	姆	U+59C6
0xA96A	姐	U+59D0
0xA96B	姍	U+59CD
0xA96C	始	U+59CB
0xA96D	姓	U+59D3
0xA96E	姊	U+59CA
0xA96F	妯	U+59AF
0xA970	妳	U+59B3
0xA971	姒	U+59D2
0xA972	姅	U+59C5
0xA973	孟	U+5B5F
0xA974	孤	U+5B64
0xA975	季	U+5B63
0xA976	宗	U+5B97
0xA977	定	U+5B9A
0xA978	官	U+5B98
0xA979	宜	U+5B9C
0xA97A	宙	U+5B99
0xA97B	宛	U+5B9B
0xA97C	尚	U+5C1A
0xA97D	屈	U+5C48
0xA97E	居	U+5C45
0xA9A1	屆	U+5C46
0xA9A2	岷	U+5CB7
0xA9A3	岡	U+5CA1
0xA9A4	岸	U+5CB8
0xA9A5	岩	U+5CA9
0xA9A6	岫	U+5CAB
0xA9A7	岱	U+5CB1
0xA9A8	岳	U+5CB3
0xA9A9	帘	U+5E18
0xA9AA	帚	U+5E1A
0xA9AB	帖	U+5E16
0xA9AC	帕	U+5E15
0xA9AD	帛	U+5E1B
0xA9AE	帑	U+5E11
0xA9AF	幸	U+5E78
0xA9B0	庚	U+5E9A
0xA9B1	店	U+5E97
0xA9B2	府	U+5E9C
0xA9B3	底	U+5E95
0xA9B4	庖	U+5E96
0xA9B5	延	U+5EF6
0xA9B6	弦	U+5F26
0xA9B7	弧	U+5F27
0xA9B8	弩	U+5F29
0xA9B9	往	U+5F80
0xA9BA	征	U+5F81
0xA9BB	彿	U+5F7F
0xA9BC	彼	U+5F7C
0xA9BD	忝	U+5FDD
0xA9BE	忠	U+5FE0
0xA9BF	忽	U+5FFD
0xA9C0	念	U+5FF5
0xA9C1	忿	U+5FFF
0xA9C2	怏	U+600F
0xA9C3	怔	U+6014
0xA9C4	怯	U+602F
0xA9C5	怵	U+6035
0xA9C6	怖	U+6016
0xA9C7	怪	U+602A
0xA9C8	怕	U+6015
0xA9C9	怡	U+6021
0xA9CA	性	U+6027
0xA9CB	怩	U+6029
0xA9CC	怫	U+602B
0xA9CD	怛	U+601B
0xA9CE	或	U+6216
0xA9CF	戕	U+6215
0xA9D0	房	U+623F
0xA9D1	戾	U+623E
0xA9D2	所	U+6240
0xA9D3	承	U+627F
0xA9D4	拉	U+62C9
0xA9D5	拌	U+62CC
0xA9D6	拄	U+62C4
0xA9D7	抿	U+62BF
0xA9D8	拂	U+62C2
0xA9D9	抹	U+62B9
0xA9DA	拒	U+62D2
0xA9DB	招	U+62DB
0xA9DC	披	U+62AB
0xA9DD	拓	U+62D3
0xA9DE	拔	U+62D4
0xA9DF	拋	U+62CB
0xA9E0	拈	U+62C8
0xA9E1	抨	U+62A8
0xA9E2	抽	U+62BD
0xA9E3	押	U+62BC
0xA9E4	拐	U+62D0
0xA9E5	拙	U+62D9
0xA9E6	拇	U+62C7
0xA9E7	拍	U+62CD
0xA9E8	抵	U+62B5
0xA9E9	拚	U+62DA
0xA9EA	抱	U+62B1
0xA9EB	拘	U+62D8
0xA9EC	拖	U+62D6
0xA9ED	拗	U+62D7
0xA9EE	拆	U+62C6
0xA9EF	抬	U+62AC
0xA9F0	拎	U+62CE
0xA9F1	放	U+653E
0xA9F2	斧	U+65A7
0xA9F3	於	U+65BC
0xA9F4	旺	U+65FA
0xA9F5	昔	U+6614
0xA9F6	易	U+6613
0xA9F7	昌	U+660C
0xA9F8	昆	U+6606
0xA9F9	昂	U+6602
0xA9FA	明	U+660E
0xA9FB	昀	U+6600
0xA9FC	昏	U+660F
0xA9FD	昕	U+6615
0xA9FE	昊	U+660A
0xAA40	昇	U+6607
0xAA41	服	U+670D
0xAA42	朋	U+670B
0xAA43	杭	U+676D
