0xB5FD	谍	U+8C0D
0xB5FE	叠	U+53E0
0xB6A1	丁	U+4E01
0xB6A2	盯	U+76EF
0xB6A3	叮	U+53EE
0xB6A4	钉	U+9489
0xB6A5	顶	U+9876
0xB6A6	鼎	U+9F0E
0xB6A7	锭	U+952D
0xB6A8	定	U+5B9A
0xB6A9	订	U+8BA2
0xB6AA	丢	U+4E22
0xB6AB	东	U+4E1C
0xB6AC	冬	U+51AC
0xB6AD	董	U+8463
0xB6AE	懂	U+61C2
0xB6AF	动	U+52A8
0xB6B0	栋	U+680B
0xB6B1	侗	U+4F97
0xB6B2	恫	U+606B
0xB6B3	冻	U+51BB
0xB6B4	洞	U+6D1E
0xB6B5	兜	U+515C
0xB6B6	抖	U+6296
0xB6B7	斗	U+6597
0xB6B8	陡	U+9661
0xB6B9	豆	U+8C46
0xB6BA	逗	U+9017
0xB6BB	痘	U+75D8
0xB6BC	都	U+90FD
0xB6BD	督	U+7763
0xB6BE	毒	U+6BD2
0xB6BF	犊	U+728A
0xB6C0	独	U+72EC
0xB6C1	读	U+8BFB
0xB6C2	堵	U+5835
0xB6C3	睹	U+7779
0xB6C4	赌	U+8D4C
0xB6C5	杜	U+675C
0xB6C6	镀	U+9540
0xB6C7	肚	U+809A
0xB6C8	度	U+5EA6
0xB6C9	渡	U+6E21
0xB6CA	妒	U+5992
0xB6CB	端	U+7AEF
0xB6CC	短	U+77ED
0xB6CD	锻	U+953B
0xB6CE	段	U+6BB5
0xB6CF	断	U+65AD
0xB6D0	缎	U+7F0E
0xB6D1	堆	U+5806
0xB6D2	兑	U+5151
0xB6D3	队	U+961F
0xB6D4	对	U+5BF9
0xB6D5	墩	U+58A9
0xB6D6	吨	U+5428
0xB6D7	蹲	U+8E72
0xB6D8	敦	U+6566
0xB6D9	顿	U+987F
0xB6DA	囤	U+56E4
0xB6DB	钝	U+949D
0xB6DC	盾	U+76FE
0xB6DD	遁	U+9041
0xB6DE	掇	U+6387
0xB6DF	哆	U+54C6
0xB6E0	多	U+591A
0xB6E1	夺	U+593A
0xB6E2	垛	U+579B
0xB6E3	躲	U+8EB2
0xB6E4	朵	U+6735
0xB6E5	跺	U+8DFA
0xB6E6	舵	U+8235
0xB6E7	剁	U+5241
0xB6E8	惰	U+60F0
0xB6E9	堕	U+5815
0xB6EA	蛾	U+86FE
0xB6EB	峨	U+5CE8
0xB6EC	鹅	U+9E45
0xB6ED	俄	U+4FC4
0xB6EE	额	U+989D
0xB6EF	讹	U+8BB9
0xB6F0	娥	U+5A25
0xB6F1	恶	U+6076
0xB6F2	厄	U+5384
0xB6F3	扼	U+627C
0xB6F4	遏	U+904F
0xB6F5	鄂	U+9102
0xB6F6	饿	U+997F
0xB6F7	恩	U+6069
0xB6F8	而	U+800C
0xB6F9	儿	U+513F
0xB6FA	耳	U+8033
0xB6FB	尔	U+5C14
0xB6FC	饵	U+9975
0xB6FD	洱	U+6D31
0xB6FE	二	U+4E8C
0xB7A1	贰	U+8D30
0xB7A2	发	U+53D1
0xB7A3	罚	U+7F5A
0xB7A4	筏	U+7B4F
0xB7A5	伐	U+4F10
0xB7A6	乏	U+4E4F
0xB7A7	阀	U+9600
0xB7A8	法	U+6CD5
0xB7A9	珐	U+73D0
0xB7AA	藩	U+85E9
0xB7AB	帆	U+5E06
0xB7AC	番	U+756A
0xB7AD	翻	U+7FFB
0xB7AE	樊	U+6A0A
0xB7AF	矾	U+77FE
0xB7B0	钒	U+9492
0xB7B1	繁	U+7E41
0xB7B2	凡	U+51E1
0xB7B3	烦	U+70E6
0xB7B4	反	U+53CD
0xB7B5	返	U+8FD4
0xB7B6	范	U+8303
0xB7B7	贩	U+8D29
0xB7B8	犯	U+72AF
0xB7B9	饭	U+996D
0xB7BA	泛	U+6CDB
0xB7BB	坊	U+574A
0xB7BC	芳	U+82B3
0xB7BD	方	U+65B9
0xB7BE	肪	U+80AA
0xB7BF	房	U+623F
0xB7C0	防	U+9632
0xB7C1	妨	U+59A8
0xB7C2	仿	U+4EFF
